university,career,inscription_date,first_name,last_name,gender,age,postal_code,location,email
universidad de palermo,actuario,2020-12-04,jonathan,zimmerman,male,69,4139,agua amarilla la hoyada,yking@gmail.com
universidad de palermo,licenciatura en producción de bioimagenes,2020-10-26,kathy,collins,female,99,3229,colonia freitas,bkent@gmail.com
universidad de palermo,agronomía,2020-10-24,kevin,lee,male,1,6365,azteazu,nancyho@hotmail.com
universidad de palermo,licenciatura en sociología,2020-12-23,mark,scott,male,7,9313,cara mala,shannon83@gmail.com
universidad de palermo,licenciatura en planificación y diseño del paisaje,2020-10-21,dawn,taylor,female,41,6661,blas durañona,amber11@hotmail.com
universidad de palermo,contador público,2020-11-22,chelsea,evans,female,57,3355,arrechea,baldwintimothy@yahoo.com
universidad de palermo,licenciatura en musicoterapia,2020-09-01,michael,pitts,male,1,4516,caimancito,usummers@yahoo.com
universidad de palermo,licenciatura en gestión de agroalimentos,2021-01-26,david,ramos,male,27,3550,allende,mariah31@hotmail.com
universidad de palermo,licenciatura en ciencia política,2021-01-14,kaitlyn,potter,female,53,3557,caraguatay,joel80@gmail.com
universidad de palermo,licenciatura en planificación y diseño del paisaje,2020-09-25,james,klein,male,40,5743,la isabel,andrewvega@gmail.com
universidad de palermo,bioquímica,2020-12-14,roy,bernard,male,5,7111,san bernardo del tuyu,floresjoseph@yahoo.com
universidad de palermo,licenciatura en producción de bioimagenes,2020-11-12,christopher,ortega,male,40,1625,arroyo canelon,sharon90@gmail.com
universidad de palermo,actuario,2020-12-20,leah,myers,female,89,8364,chimpay,longyvette@hotmail.com
universidad de palermo,licenciatura en ciencias de la educación,2021-01-09,robert,swanson,male,48,3412,albardon,mbradshaw@gmail.com
universidad de palermo,agronomía,2020-09-11,mrs.,wendy,female,30,5567,la cañada,espinozahunter@hotmail.com
universidad de palermo,licenciatura en ciencia y tecnología de alimentos,2020-09-29,michael,williams,male,9,6605,campo peña lopez,shenderson@hotmail.com
universidad de palermo,licenciatura en gestión de agroalimentos,2020-10-24,wesley,parrish,male,4,3400,bañado norte,diana33@yahoo.com
universidad de palermo,arquitectura,2021-01-28,nicole,thomas,female,8,3443,colonia mendez bar,aho@hotmail.com
universidad de palermo,ciencias veterinarias,2020-11-23,molly,garza,female,60,3123,aldea santa maria,phillipdaniels@hotmail.com
universidad de palermo,técnico para bioterios,2021-01-11,christina,cruz,female,57,5607,colonia bombal y tabanera,jon54@hotmail.com
