university,career,inscription_date,first_name,last_name,gender,age,postal_code,location,email
UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_ADMINISTRACIÓN_,17-Sep-20,JAMES,GONZALEZ,M,80.0,2747,CORONEL ISLEÑOS,JOSEPHJACKSON@HOTMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_RELACIONES_DEL_TRABAJO_,01-Oct-20,CHRISTOPHER,RUSSELL,M,76.0,6535,BELLOCQ,PATTERSONJEREMY@GMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_CIENCIAS_AMBIENTALES,29-Sep-20,MONICA,FARLEY,F,49.0,2105,CAÑADA RICA,MARIA48@YAHOO.COM
UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_CIENCIA_Y_TECNOLOGÍA_DE_ALIMENTOS,21-Dec-20,TAMMY,SUTTON,F,70.0,6472,FRANCISCO MADERO,CHARLES28@HOTMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_TERAPIA_OCUPACIONAL,15-Jan-21,SYDNEY,PRICE,F,86.0,6346,PELLEGRINI,SINGLETONJOSHUA@YAHOO.COM
UNIVERSIDAD_DEL_SALVADOR,BIOQUÍMICA,21-Nov-20,ANTHONY,BAIRD,M,52.0,1665,JOSE CLEMENTE PAZ,HERNANDEZANDREW@HOTMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_CIENCIA_POLÍTICA_,02-Nov-20,ADAM,CLARK,M,33.0,6201,CHANILAO,YMILLS@GMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,INGENIERÍA_ELECTRÓNICA,10-Dec-20,CHERYL,CRUZ,F,71.0,1828,BANFIELD,CHARLENEBARKER@GMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_PRODUCCIÓN_DE_BIOIMAGENES,28-Dec-20,REGINA,HUTCHINSON,F,62.0,6616,CASTILLA,SIMPSONMICHELLE@HOTMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_CIENCIAS_ANTROPOLÓGICAS,29-Sep-20,TODD,FRAZIER,M,92.0,5582,ALBERTO FLORES,AMYNEAL@GMAIL.COM
