,university,career,inscription_date,first_name,last_name,gender,age,postal_code,location,email
0,Universidad de morón,Ingeniería mecánica,24/01/2020,Veronica,miller,F,5.0,3224,LA BLANQUEADA,Kristin71@hotmail.com
1,Universidad de morón,Licenciatura en ciencias de la educación ,27/08/2020,Stephen,russo,M,20.0,6221,CEBALLOS,Harrisonkimberly@gmail.com
2,Universidad de morón,Contador público ,14/07/2020,Melanie,collins,F,64.0,1876,BERNAL ESTE,Seanfisher@hotmail.com
3,Universidad de morón,Licenciatura en artes,28/10/2020,Sandra,simpson,F,85.0,3083,GRUTLY,Spencermurphy@hotmail.com
4,Universidad de morón,Agronomía,29/12/2020,Scott,marshall,M,12.0,8000,ADELA CORTI,Lloydkathryn@gmail.com
5,Universidad de morón,Licenciatura en administración ,24/07/2020,James,oliver,M,42.0,6469,ASTURIAS,Asmith@gmail.com
6,Universidad de morón,Licenciatura en ciencia y tecnología de alimentos,07/08/2020,Colleen,herman,F,72.0,3474,CHAVARRIA,Fkelley@hotmail.com
7,Universidad nacional de la pampa,Diseño de imagen y sonido,18/07/2020,Cindy,wong,F,74.0,3427,ABRA,Bgordon@hotmail.com
8,Universidad de morón,Licenciatura en ciencias de la educación ,23/02/2020,Timothy,johnson,M,101.0,5623,ATUEL SUD,Michaellane@yahoo.com
9,Universidad de morón,Licenciatura en ciencia y tecnología de alimentos,09/11/2020,Robyn,walsh,F,54.0,4601,CORRAL DE PIEDRAS,Dawn84@hotmail.com
10,Universidad de morón,Licenciatura en terapia ocupacional,20/10/2020,Christopher,wilson,M,14.0,8345,ALUMINE,Rowen@yahoo.com
11,Universidad de morón,Ciencias veterinarias,08/10/2020,Wayne,jackson,M,110.0,5300,AMILGANCHO,Kristenblack@yahoo.com
12,Universidad nacional de la pampa,Licenciatura en ciencias biológicas,22/01/2020,Courtney,oneill,F,62.0,3543,COLONIA LOTE 12,Benjaminjohnson@hotmail.com
13,Universidad nacional de la pampa,Farmacia,25/04/2020,Brett,jones,M,96.0,5713,BALDE AHUMADA,Nelsonabigail@gmail.com
14,Universidad nacional de la pampa,Ingeniería mecánica,09/06/2020,Natasha,eaton,F,49.0,1704,RAMOS MEJIA,Ggarcia@hotmail.com
15,Universidad nacional de la pampa,Farmacia,29/12/2020,Chad,richardson,M,45.0,3185,COLONIA LA MARTA,Jacksonmichelle@hotmail.com
16,Universidad nacional de la pampa,Licenciatura en sociología ,03/09/2020,Cassandra,odonnell,F,67.0,7245,CAMPO SABATE,Jamesthompson@gmail.com
17,Universidad de morón,Ciencias veterinarias,02/12/2020,Samantha,thompson,F,26.0,5509,AGRELO,Meganolson@hotmail.com
18,Universidad de morón,Arquitectura,08/10/2020,James,lopez,M,26.0,5589,CHAPANAY,Victor92@yahoo.com
19,Universidad de morón,Diseño de imagen y sonido,12/03/2020,Michael,little,M,38.0,7100,DOLORES,Elizabethprice@gmail.com
20,Universidad de morón,Diseño de imagen y sonido,22/07/2020,Daniel,nunez,M,33.0,8181,AZOPARDO,Michellemorse@yahoo.com
21,Universidad de morón,Licenciatura en ciencias biológicas,23/03/2020,Samuel,davenport,M,79.0,6022,LA ORIENTAL,Jamesjackson@hotmail.com
22,Universidad de morón,Licenciatura en artes,10/04/2020,Natalie,jackson,F,88.0,3536,BOCAS,Acostanicole@gmail.com
23,Universidad de morón,Bioquímica,20/12/2020,Benjamin,thomas,M,57.0,4166,BALDERRAMA,Hicksriley@gmail.com
24,Universidad de morón,Licenciatura en ciencias de la educación ,25/03/2020,Devin,johnson,M,62.0,8133,LA ROSA,Hunter66@gmail.com
25,Universidad de morón,Bioquímica,27/04/2020,Erin,kent,F,109.0,5883,ALTO LINDO,Shannonjohnson@hotmail.com
26,Universidad nacional de la pampa,Licenciatura en sociología ,17/08/2020,Joel,newton,M,19.0,7116,CAMARON CHICO,Jeromehenson@yahoo.com
27,Universidad nacional de la pampa,Agronomía,29/05/2020,Angela,haney,F,55.0,5350,EL MOLLE,Hbrown@hotmail.com
28,Universidad nacional de la pampa,Arquitectura,26/06/2020,Melissa,maddox,F,90.0,8200,COLONIA LIA Y ALLENDE,Jesus10@yahoo.com
29,Universidad de morón,Licenciatura en musicoterapia,28/03/2020,Natasha,adams,F,97.0,1644,VICTORIA,Earl75@yahoo.com
30,Universidad nacional de la pampa,Ingeniería en informática,20/11/2020,Jeffrey,rivera,M,102.0,8206,COLONIA ESPAÑA,Kristaaustin@hotmail.com
31,Universidad de morón,Diseño de imagen y sonido,02/04/2020,Douglas,smith,M,57.0,4111,AGUADA,Qevans@hotmail.com
32,Universidad de morón,Licenciatura en ciencia política ,13/01/2020,Connie,beck,F,59.0,5407,DIQUE TOMA,Thomasbrett@gmail.com
33,Universidad nacional de la pampa,Licenciatura en ciencias antropológicas,22/08/2020,Christopher,moody,M,73.0,3550,ALLENDE,Stevenschad@yahoo.com
