university,career,inscription_date,first_name,last_name,gender,age,postal_code,location,email
UNIV. NACIONAL DEL COMAHUE,DISEÑO INDUSTRIAL,2020-11-20,MICHELLE,HARRIS,F,104.0,7261,SALADILLO NORTE,MARTINEZJOHN@HOTMAIL.COM
UNIV. NACIONAL DEL COMAHUE,CONTADOR PÚBLICO ,2020-10-31,AMANDA,HILL,F,32.0,8129,17 DE AGOSTO,TYLER57@HOTMAIL.COM
UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS AMBIENTALES,2020-09-04,JASON,MONTES,M,97.0,3194,PASO TELEGRAFO,WBRYANT@HOTMAIL.COM
UNIV. NACIONAL DEL COMAHUE,AGRONOMÍA,2021-01-31,RYAN,DAVIS,M,87.0,3328,COLONIA JAPONESA,PATRICIAZAMORA@GMAIL.COM
UNIV. NACIONAL DEL COMAHUE,DISEÑO INDUSTRIAL,2020-12-03,SANDRA,BURTON,F,52.0,4500,ALTO DEL SALADILLO,KLEINLAUREN@GMAIL.COM
UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS GEOLÓGICAS,2020-11-24,REBEKAH,GONZALES,F,43.0,7609,BALNEARIO LA CALETA,MTERRY@YAHOO.COM
UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN GESTIÓN DE AGROALIMENTOS,2020-10-23,LAURA,GIBSON,F,83.0,3087,FELICIA,CARMENMCKINNEY@YAHOO.COM
UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS BIOLÓGICAS,2021-01-09,MICHAEL,MCDONALD,M,65.0,3000,BARRANQUITAS,BENJAMIN45@YAHOO.COM
UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN GESTIÓN DE AGROALIMENTOS,2021-01-01,STEPHEN,MATHIS,M,75.0,5557,CARACOLES,CHRISTINE82@YAHOO.COM
UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN PRODUCCIÓN DE BIOIMAGENES,2020-10-18,TIMOTHY,GIBSON,M,9.0,6050,CUARTEL VII,CHRISTOPHEREVANS@GMAIL.COM
UNIV. NACIONAL DEL COMAHUE,ARQUITECTURA,2020-10-11,CODY,HUNT,M,55.0,3214,ESTACION YERUA,KEITH37@HOTMAIL.COM
UNIV. NACIONAL DEL COMAHUE,MEDICINA,2020-12-25,BRADLEY,MILES,M,95.0,6331,COLONIA BEAUFORT,FLORESROBERT@YAHOO.COM
UNIV. NACIONAL DEL COMAHUE,INGENIERÍA EN INFORMÁTICA,2020-11-19,MELISSA,ROBERTSON,F,29.0,7630,HOSPITAL NECOCHEA,JOSEPHKING@GMAIL.COM
UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN PRODUCCIÓN DE BIOIMAGENES,2020-09-18,JANE,CAMPBELL,F,20.0,7311,CHILLAR,GILLESPIEBRIAN@YAHOO.COM
UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIA POLÍTICA ,2020-10-14,BARBARA,SPEARS,F,51.0,6433,ARTURO VATTEONE,CINDY96@HOTMAIL.COM
UNIV. NACIONAL DEL COMAHUE,DISEÑO INDUSTRIAL,2020-11-05,JOSHUA,STOKES,M,75.0,5701,11 DE MAYO,JENNIFER73@GMAIL.COM
UNIV. NACIONAL DEL COMAHUE,AGRONOMÍA,2020-12-23,GARY,CHRISTENSEN,M,29.0,5505,CARBOMETAL,JAMES83@HOTMAIL.COM
UNIV. NACIONAL DEL COMAHUE,CONTADOR PÚBLICO ,2020-10-13,LISA,COLLIER,F,96.0,6634,ALBERTI,CASESTACEY@YAHOO.COM
UNIV. NACIONAL DEL COMAHUE,DISEÑO DE IMAGEN Y SONIDO,2020-12-09,JOEL,OWEN,M,97.0,6409,JOSE MARIA BLANCO,KEVINSALAS@YAHOO.COM
UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS DE LA COMPUTACIÓN,2020-09-06,JAMES,PETTY,M,53.0,5521,LOS CORREDORES,ETHANJIMENEZ@HOTMAIL.COM
UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIA POLÍTICA ,2020-10-03,MISS,RACHEL,F,105.0,7221,FRANCISCO BERRA,SHEILA33@YAHOO.COM
UNIV. NACIONAL DEL COMAHUE,TÉCNICO PARA BIOTERIOS ,2020-10-07,VICTORIA,FORD,F,90.0,6058,PAZOS KANKI,DANAGOODWIN@HOTMAIL.COM
UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN MUSICOTERAPIA,2021-01-07,RICHARD,MORGAN,M,113.0,8124,BERRAONDO,ODONNELLGRANT@HOTMAIL.COM
UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN MUSICOTERAPIA,2020-10-05,TYLER,ROSS,M,38.0,3261,CENTELLA,TANNERYOLANDA@HOTMAIL.COM
UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN ARTES,2021-01-08,JERRY,JONES,M,101.0,1812,CARLOS SPEGAZZINI,IRICHARDSON@YAHOO.COM
UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN SOCIOLOGÍA ,2020-11-25,LATASHA,COOK,F,35.0,1665,JOSE CLEMENTE PAZ,DEREK68@GMAIL.COM
UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS AMBIENTALES,2020-09-24,SUSAN,WALLACE,F,19.0,2828,COLONIA NUEVA MONTEVIDEO,LAUREN17@GMAIL.COM
UNIV. NACIONAL DEL COMAHUE,ACTUARIO ,2020-09-29,KELSEY,POWELL,F,10.0,4618,ABRA DE PIVES,RICHARDSTREVOR@HOTMAIL.COM
UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIA POLÍTICA ,2020-11-29,ANA,KEY,F,45.0,6616,CASTILLA,RAMOSSTEVEN@GMAIL.COM
UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN PLANIFICACIÓN Y DISEÑO DEL PAISAJE,2020-11-12,RENEE,DAY,F,40.0,9001,CAÑADON FERRAIS,WBLACK@GMAIL.COM
UNIV. NACIONAL DEL COMAHUE,INGENIERÍA EN INFORMÁTICA,2020-10-19,TIMOTHY,WOOD,M,68.0,4101,AGUA NEGRA,MALDONADOMICHAEL@YAHOO.COM
UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN ,2020-11-04,AMY,HOOVER,F,109.0,3248,CARAGUATA,HOBBSSABRINA@GMAIL.COM
UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIA POLÍTICA ,2021-01-21,CHRISTINA,MCCLURE,F,103.0,8103,GARRO,BRADFORDKATHLEEN@GMAIL.COM
UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN RELACIONES DEL TRABAJO ,2020-12-01,LINDA,HARRIS,F,103.0,3048,ANGELONI,HPATTON@GMAIL.COM
UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS AMBIENTALES,2021-01-21,KAREN,HURST,F,73.0,7020,BENITO JUAREZ,RODNEY75@GMAIL.COM
UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS ANTROPOLÓGICAS,2020-11-13,ADAM,MOORE,M,65.0,1665,JOSE CLEMENTE PAZ,BRANDON66@HOTMAIL.COM
UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN SOCIOLOGÍA ,2020-10-19,CASSANDRA,SERRANO,F,29.0,8000,ADELA CORTI,AARONLOVE@HOTMAIL.COM
