university,career,inscription_date,first_name,last_name,gender,age,postal_code,location,email
universidad nacional de villa maría,licenciatura en gestión de agroalimentos,2020-10-17,harry,wilcox,male,10,1601,isla martin garcia,browndenise@hotmail.com
universidad nacional de villa maría,ingeniería electrónica,2020-09-24,eric,johnson,male,89,1602,florida,ihorne@hotmail.com
universidad nacional de villa maría,licenciatura en musicoterapia,2020-10-26,laura,welch,female,85,1602,florida,brendan92@yahoo.com
universidad nacional de villa maría,ingeniería mecánica,2020-10-30,erica,reed,female,40,1602,florida,wgallagher@yahoo.com
universidad nacional de villa maría,licenciatura en terapia ocupacional,2020-09-18,barbara,mccoy,female,68,1602,florida,webbdavid@yahoo.com
universidad nacional de villa maría,licenciatura en psicología,2021-01-30,ana,holt,female,9,1605,carapachay,alancross@hotmail.com
universidad nacional de villa maría,licenciatura en ciencia política,2020-12-16,dr. young phd,phd,female,73,1605,carapachay,thomassarah@yahoo.com
universidad nacional de villa maría,licenciatura en planificación y diseño del paisaje,2020-09-20,jamie,harrell,female,55,1607,villa adelina,jdalton@hotmail.com
universidad nacional de villa maría,ingeniería en informática,2020-09-28,kimberly,henson,female,27,1609,boulogne,joyce92@yahoo.com
universidad nacional de villa maría,actuario,2020-09-09,cindy,luna,female,20,1609,boulogne,stephaniehawkins@yahoo.com
universidad nacional de villa maría,licenciatura en relaciones del trabajo,2020-12-08,laura,larson,female,65,1611,don torcuato,gvasquez@hotmail.com
universidad nacional de villa maría,licenciatura en ciencias biológicas,2021-01-22,nicole,martinez,female,27,1611,don torcuato,kbell@gmail.com
universidad nacional de villa maría,actuario,2021-01-11,joshua,gomez,male,2,1612,ingeniero adolfo sourdeaux,robertwalters@yahoo.com
universidad nacional de villa maría,licenciatura en producción de bioimagenes,2020-10-18,james,robles,male,50,1613,los polvorines,kenneth80@hotmail.com
universidad nacional de villa maría,bioquímica,2020-09-06,christopher,jacobs,male,95,1614,villa de mayo,ocruz@gmail.com
universidad nacional de villa maría,licenciatura en ciencias antropológicas,2020-10-28,matthew,love,male,56,1614,villa de mayo,daniellester@hotmail.com
universidad nacional de villa maría,actuario,2021-01-21,mathew,wright,male,29,1625,arroyo canelon,klinebriana@gmail.com
universidad nacional de villa maría,actuario,2020-12-13,shannon,garner,female,6,1625,arroyo canelon,kevin51@yahoo.com
universidad nacional de villa maría,licenciatura en ciencias de la educación,2021-01-20,ashley,harrell,female,10,1627,matheu,bergbradley@gmail.com
universidad nacional de villa maría,agronomía,2020-09-12,joseph,fry,male,66,1629,almirante irizar,qdeleon@gmail.com
universidad nacional de villa maría,licenciatura en ciencia y tecnología de alimentos,2020-09-09,mr. nichols,nichols,male,4,1631,villa rosa,greenchristina@yahoo.com
universidad nacional de villa maría,licenciatura en gestión de agroalimentos,2021-01-25,lisa,whitaker,female,6,1633,empalme,pauljones@gmail.com
universidad nacional de villa maría,ingeniería electrónica,2020-12-09,edwin,garrison,male,74,1635,kilometro 45,erica89@hotmail.com
universidad nacional de villa maría,licenciatura en musicoterapia,2020-11-28,javier,carter,male,83,1635,kilometro 45,laura76@gmail.com
universidad nacional de villa maría,licenciatura en psicología,2020-10-26,eric,ramos,male,15,1636,la lucila,michael48@gmail.com
universidad nacional de villa maría,licenciatura en ciencias ambientales,2021-01-15,april,estes,female,56,1636,la lucila,langjill@yahoo.com
universidad nacional de villa maría,contador público,2020-12-05,catherine,weiss,female,80,1636,la lucila,npaul@yahoo.com
universidad nacional de villa maría,licenciatura en sociología,2020-12-24,amanda,roberts,female,42,1636,la lucila,chartman@yahoo.com
universidad nacional de villa maría,bioquímica,2021-01-04,darin,rogers,male,84,1636,la lucila,homonique@yahoo.com
universidad nacional de villa maría,ciencias veterinarias,2020-09-30,mary,stephens,female,7,1638,vicente lopez,vmitchell@yahoo.com
universidad nacional de villa maría,licenciatura en ciencias geológicas,2020-09-12,karen,wallace,female,23,1638,vicente lopez,jennifer41@yahoo.com
universidad nacional de villa maría,licenciatura en artes,2020-11-20,jennifer,carter,female,1,1638,vicente lopez,edwin79@gmail.com
universidad nacional de villa maría,contador público,2020-11-13,stephanie,adams,female,1,1642,san isidro,andrewingram@yahoo.com
universidad nacional de villa maría,licenciatura en ciencias biológicas,2020-11-24,darlene,hoffman,female,36,1646,san fernando,christianhannah@yahoo.com
universidad nacional de villa maría,licenciatura en ciencias ambientales,2020-10-28,natasha,morgan,female,11,1646,san fernando,sanchezjanet@hotmail.com
universidad nacional de villa maría,bioquímica,2020-10-11,april,miller,female,14,1646,san fernando,robertelliott@yahoo.com
universidad nacional de villa maría,licenciatura en gestión de agroalimentos,2020-11-27,kirk,dean,male,97,1649,zona delta tigre,carloscastillo@hotmail.com
universidad nacional de villa maría,licenciatura en sociología,2020-10-04,michael,stein,male,8,1653,villa ballester,dellis@hotmail.com
universidad nacional de villa maría,licenciatura en gestión de agroalimentos,2020-11-20,michael,brown,male,81,1655,jose leon suarez,isaiahwilliams@gmail.com
universidad nacional de villa maría,licenciatura en ciencias geológicas,2020-11-13,brittany dds,dds,female,51,1655,jose leon suarez,smithlisa@hotmail.com
