university,career,inscription_date,first_name,last_name,gender,age,postal_code,location,email
UNIVERSIDAD DE FLORES,LICENCIATURA EN KINESIOLOGÍA Y FISIATRÍA,2020-11-01,CHELSEA,TAYLOR,F,100.0,6200,REALICO,MICHAEL67@GMAIL.COM
UNIVERSIDAD DE FLORES,INGENIERÍA EN INFORMÁTICA,2020-12-09,DANIEL,BROWN,M,82.0,1633,EMPALME,KHODGES@GMAIL.COM
UNIVERSIDAD DE FLORES,LICENCIATURA EN CIENCIAS ANTROPOLÓGICAS,2020-09-11,MS. SCOTT,SCOTT,F,31.0,5777,ADOLFO RODRIGUEZ SAA,DMADDEN@HOTMAIL.COM
UNIVERSIDAD DE FLORES,LICENCIATURA EN CIENCIAS AMBIENTALES,2020-09-18,DAVID,HUBER,M,70.0,4605,ALISOS  DE ABAJO,WWEBB@HOTMAIL.COM
UNIVERSIDAD DE FLORES,DISEÑO DE IMAGEN Y SONIDO,2020-09-06,STEVEN,MUNOZ,M,67.0,5381,BELLA VISTA,CHRISTOPHER00@YAHOO.COM
UNIVERSIDAD DE FLORES,LICENCIATURA EN PLANIFICACIÓN Y DISEÑO DEL PAISAJE,2020-12-22,TIM,COX,M,18.0,5622,COLONIA JAUREGUI,ALICIAPEARSON@HOTMAIL.COM
UNIVERSIDAD DE FLORES,DISEÑO INDUSTRIAL,2020-12-22,JOANN,DOMINGUEZ,F,106.0,3308,CANDELARIA,ELIZABETH50@HOTMAIL.COM
UNIVERSIDAD DE FLORES,LICENCIATURA EN PLANIFICACIÓN Y DISEÑO DEL PAISAJE,2020-10-19,MRS. ANDERSON MD,MD,F,66.0,5622,COLONIA JAUREGUI,RREILLY@HOTMAIL.COM
UNIVERSIDAD DE FLORES,BIOQUÍMICA,2020-11-20,IAN,LEWIS,M,16.0,2508,ARMSTRONG,KIMANN@HOTMAIL.COM
UNIVERSIDAD DE FLORES,LICENCIATURA EN CIENCIAS AMBIENTALES,2020-09-08,ALEXANDER,WILLIAMS,M,14.0,4163,HUASA PAMPA NORTE,LESLIE97@GMAIL.COM
UNIVERSIDAD DE FLORES,LICENCIATURA EN PLANIFICACIÓN Y DISEÑO DEL PAISAJE,2020-11-11,EMILY,WILSON,F,83.0,3328,COLONIA JAPONESA,MARK19@HOTMAIL.COM
UNIVERSIDAD DE FLORES,LICENCIATURA EN CIENCIAS BIOLÓGICAS,2020-12-04,LAURA,CLAY,F,19.0,1659,CAMPO DE MAYO,KELLYJORDAN@YAHOO.COM
UNIVERSIDAD DE FLORES,LICENCIATURA EN SOCIOLOGÍA ,2021-01-16,BRIAN,ALEXANDER,M,112.0,3706,AVIA TERAI,MPOWELL@GMAIL.COM
UNIVERSIDAD DE FLORES,AGRONOMÍA,2021-01-18,ERIK,ADAMS,M,13.0,6077,ENCINA,VICTOR43@YAHOO.COM
UNIVERSIDAD DE FLORES,FARMACIA,2020-12-27,SARA,HANSEN,F,64.0,5572,ALTO GRANDE,MDAVIS@YAHOO.COM
UNIVERSIDAD DE FLORES,LICENCIATURA EN KINESIOLOGÍA Y FISIATRÍA,2021-01-29,FRANK,FIELDS,M,114.0,3531,COLONIA ABORIGEN,KATHY78@GMAIL.COM
UNIVERSIDAD DE FLORES,LICENCIATURA EN GESTIÓN DE AGROALIMENTOS,2020-10-27,SANDRA,WHITE,F,9.0,6476,CHICLANA,TARA67@HOTMAIL.COM
UNIVERSIDAD DE FLORES,LICENCIATURA EN CIENCIAS DE LA COMPUTACIÓN,2020-12-09,LOGAN,MELTON,M,95.0,6405,30 DE AGOSTO,KAYLA62@GMAIL.COM
UNIVERSIDAD DE FLORES,INGENIERÍA MECÁNICA,2020-09-11,MICHAEL,DOWNS,M,103.0,3109,COLONIA CENTENARIO,YNELSON@GMAIL.COM
UNIVERSIDAD DE FLORES,AGRONOMÍA,2020-11-07,SARAH,HODGE,F,96.0,2615,LA GAMA,EWILLIS@HOTMAIL.COM
UNIVERSIDAD DE FLORES,BIOQUÍMICA,2020-12-26,HEATHER,LOPEZ,F,33.0,3522,EL RETIRO,DAVILALORI@GMAIL.COM
UNIVERSIDAD DE FLORES,DISEÑO DE IMAGEN Y SONIDO,2020-09-29,KIMBERLY,DANIELS,F,27.0,1665,JOSE CLEMENTE PAZ,FOSTERJOSHUA@YAHOO.COM
UNIVERSIDAD DE FLORES,CIENCIAS VETERINARIAS,2020-12-26,TYLER,DAVIS,M,60.0,1754,SAN JUSTO,THOMPSONRANDY@YAHOO.COM
UNIVERSIDAD DE FLORES,LICENCIATURA EN CIENCIA Y TECNOLOGÍA DE ALIMENTOS,2020-10-03,ANNA,SCOTT,F,115.0,5411,LA LEGUA,BOYDBRENDA@YAHOO.COM
UNIVERSIDAD DE FLORES,CIENCIAS VETERINARIAS,2020-11-27,JESSICA,LEE,F,4.0,8175,GOYENA,RHAMPTON@GMAIL.COM
UNIVERSIDAD DE FLORES,LICENCIATURA EN ARTES,2020-12-10,GREGORY,POWERS,M,116.0,3105,DIAMANTE,JOSHUA53@GMAIL.COM
UNIVERSIDAD DE FLORES,LICENCIATURA EN TERAPIA OCUPACIONAL,2020-10-01,AMBER,FIELDS,F,32.0,4616,BARCENA,CYNTHIABRYANT@YAHOO.COM
UNIVERSIDAD DE FLORES,LICENCIATURA EN ADMINISTRACIÓN ,2020-09-14,BRUCE,JOHNSON,M,103.0,8311,VILLA EL CHOCON,AARONCONNER@GMAIL.COM
UNIVERSIDAD DE FLORES,MEDICINA,2020-11-23,LEE,JOHNSTON,M,63.0,7220,FUNKE,HEATHER55@HOTMAIL.COM
UNIVERSIDAD DE FLORES,CONTADOR PÚBLICO ,2020-10-09,BLAKE,THOMAS,M,58.0,6457,INGENIERO BEAUGEY,ZWHITE@HOTMAIL.COM
UNIVERSIDAD DE FLORES,BIOQUÍMICA,2021-01-05,JUSTIN,WOLFE,M,45.0,3543,COLONIA LOTE 12,LORIMILLER@YAHOO.COM
