university,career,inscription_date,first_name,last_name,gender,age,postal_code,location,email
UNIVERSIDAD NACIONAL DE VILLA MARÍA,LICENCIATURA EN GESTIÓN DE AGROALIMENTOS,2020-10-17,HARRY,WILCOX,M,10,1601,ISLA MARTIN GARCIA,BROWNDENISE@HOTMAIL.COM
UNIVERSIDAD NACIONAL DE VILLA MARÍA,INGENIERÍA ELECTRÓNICA,2020-09-24,ERIC,JOHNSON,M,89,1602,FLORIDA,IHORNE@HOTMAIL.COM
UNIVERSIDAD NACIONAL DE VILLA MARÍA,LICENCIATURA EN MUSICOTERAPIA,2020-10-26,LAURA,WELCH,F,85,1602,FLORIDA,BRENDAN92@YAHOO.COM
UNIVERSIDAD NACIONAL DE VILLA MARÍA,INGENIERÍA MECÁNICA,2020-10-30,ERICA,REED,F,40,1602,FLORIDA,WGALLAGHER@YAHOO.COM
UNIVERSIDAD NACIONAL DE VILLA MARÍA,LICENCIATURA EN TERAPIA OCUPACIONAL,2020-09-18,BARBARA,MCCOY,F,68,1602,FLORIDA,WEBBDAVID@YAHOO.COM
UNIVERSIDAD NACIONAL DE VILLA MARÍA,LICENCIATURA EN PSICOLOGÍA,2021-01-30,ANA,HOLT,F,9,1605,CARAPACHAY,ALANCROSS@HOTMAIL.COM
UNIVERSIDAD NACIONAL DE VILLA MARÍA,LICENCIATURA EN CIENCIA POLÍTICA ,2020-12-16,DR. YOUNG PHD,PHD,F,73,1605,CARAPACHAY,THOMASSARAH@YAHOO.COM
UNIVERSIDAD NACIONAL DE VILLA MARÍA,LICENCIATURA EN PLANIFICACIÓN Y DISEÑO DEL PAISAJE,2020-09-20,JAMIE,HARRELL,F,55,1607,VILLA ADELINA,JDALTON@HOTMAIL.COM
UNIVERSIDAD NACIONAL DE VILLA MARÍA,INGENIERÍA EN INFORMÁTICA,2020-09-28,KIMBERLY,HENSON,F,27,1609,BOULOGNE,JOYCE92@YAHOO.COM
UNIVERSIDAD NACIONAL DE VILLA MARÍA,ACTUARIO ,2020-09-09,CINDY,LUNA,F,20,1609,BOULOGNE,STEPHANIEHAWKINS@YAHOO.COM
UNIVERSIDAD NACIONAL DE VILLA MARÍA,LICENCIATURA EN RELACIONES DEL TRABAJO ,2020-12-08,LAURA,LARSON,F,65,1611,DON TORCUATO,GVASQUEZ@HOTMAIL.COM
UNIVERSIDAD NACIONAL DE VILLA MARÍA,LICENCIATURA EN CIENCIAS BIOLÓGICAS,2021-01-22,NICOLE,MARTINEZ,F,27,1611,DON TORCUATO,KBELL@GMAIL.COM
UNIVERSIDAD NACIONAL DE VILLA MARÍA,ACTUARIO ,2021-01-11,JOSHUA,GOMEZ,M,2,1612,INGENIERO ADOLFO SOURDEAUX,ROBERTWALTERS@YAHOO.COM
UNIVERSIDAD NACIONAL DE VILLA MARÍA,LICENCIATURA EN PRODUCCIÓN DE BIOIMAGENES,2020-10-18,JAMES,ROBLES,M,50,1613,LOS POLVORINES,KENNETH80@HOTMAIL.COM
UNIVERSIDAD NACIONAL DE VILLA MARÍA,BIOQUÍMICA,2020-09-06,CHRISTOPHER,JACOBS,M,95,1614,VILLA DE MAYO,OCRUZ@GMAIL.COM
UNIVERSIDAD NACIONAL DE VILLA MARÍA,LICENCIATURA EN CIENCIAS ANTROPOLÓGICAS,2020-10-28,MATTHEW,LOVE,M,56,1614,VILLA DE MAYO,DANIELLESTER@HOTMAIL.COM
UNIVERSIDAD NACIONAL DE VILLA MARÍA,ACTUARIO ,2021-01-21,MATHEW,WRIGHT,M,29,1625,ARROYO CANELON,KLINEBRIANA@GMAIL.COM
UNIVERSIDAD NACIONAL DE VILLA MARÍA,ACTUARIO ,2020-12-13,SHANNON,GARNER,F,6,1625,ARROYO CANELON,KEVIN51@YAHOO.COM
UNIVERSIDAD NACIONAL DE VILLA MARÍA,LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN ,2021-01-20,ASHLEY,HARRELL,F,10,1627,MATHEU,BERGBRADLEY@GMAIL.COM
UNIVERSIDAD NACIONAL DE VILLA MARÍA,AGRONOMÍA,2020-09-12,JOSEPH,FRY,M,66,1629,ALMIRANTE IRIZAR,QDELEON@GMAIL.COM
UNIVERSIDAD NACIONAL DE VILLA MARÍA,LICENCIATURA EN CIENCIA Y TECNOLOGÍA DE ALIMENTOS,2020-09-09,MR. NICHOLS,NICHOLS,M,4,1631,VILLA ROSA,GREENCHRISTINA@YAHOO.COM
UNIVERSIDAD NACIONAL DE VILLA MARÍA,LICENCIATURA EN GESTIÓN DE AGROALIMENTOS,2021-01-25,LISA,WHITAKER,F,6,1633,EMPALME,PAULJONES@GMAIL.COM
UNIVERSIDAD NACIONAL DE VILLA MARÍA,INGENIERÍA ELECTRÓNICA,2020-12-09,EDWIN,GARRISON,M,74,1635,KILOMETRO 45,ERICA89@HOTMAIL.COM
UNIVERSIDAD NACIONAL DE VILLA MARÍA,LICENCIATURA EN MUSICOTERAPIA,2020-11-28,JAVIER,CARTER,M,83,1635,KILOMETRO 45,LAURA76@GMAIL.COM
UNIVERSIDAD NACIONAL DE VILLA MARÍA,LICENCIATURA EN PSICOLOGÍA,2020-10-26,ERIC,RAMOS,M,15,1636,LA LUCILA,MICHAEL48@GMAIL.COM
UNIVERSIDAD NACIONAL DE VILLA MARÍA,LICENCIATURA EN CIENCIAS AMBIENTALES,2021-01-15,APRIL,ESTES,F,56,1636,LA LUCILA,LANGJILL@YAHOO.COM
UNIVERSIDAD NACIONAL DE VILLA MARÍA,CONTADOR PÚBLICO ,2020-12-05,CATHERINE,WEISS,F,80,1636,LA LUCILA,NPAUL@YAHOO.COM
UNIVERSIDAD NACIONAL DE VILLA MARÍA,LICENCIATURA EN SOCIOLOGÍA ,2020-12-24,AMANDA,ROBERTS,F,42,1636,LA LUCILA,CHARTMAN@YAHOO.COM
UNIVERSIDAD NACIONAL DE VILLA MARÍA,BIOQUÍMICA,2021-01-04,DARIN,ROGERS,M,84,1636,LA LUCILA,HOMONIQUE@YAHOO.COM
UNIVERSIDAD NACIONAL DE VILLA MARÍA,CIENCIAS VETERINARIAS,2020-09-30,MARY,STEPHENS,F,7,1638,VICENTE LOPEZ,VMITCHELL@YAHOO.COM
UNIVERSIDAD NACIONAL DE VILLA MARÍA,LICENCIATURA EN CIENCIAS GEOLÓGICAS,2020-09-12,KAREN,WALLACE,F,23,1638,VICENTE LOPEZ,JENNIFER41@YAHOO.COM
UNIVERSIDAD NACIONAL DE VILLA MARÍA,LICENCIATURA EN ARTES,2020-11-20,JENNIFER,CARTER,F,1,1638,VICENTE LOPEZ,EDWIN79@GMAIL.COM
UNIVERSIDAD NACIONAL DE VILLA MARÍA,CONTADOR PÚBLICO ,2020-11-13,STEPHANIE,ADAMS,F,1,1642,SAN ISIDRO,ANDREWINGRAM@YAHOO.COM
UNIVERSIDAD NACIONAL DE VILLA MARÍA,LICENCIATURA EN CIENCIAS BIOLÓGICAS,2020-11-24,DARLENE,HOFFMAN,F,36,1646,SAN FERNANDO,CHRISTIANHANNAH@YAHOO.COM
UNIVERSIDAD NACIONAL DE VILLA MARÍA,LICENCIATURA EN CIENCIAS AMBIENTALES,2020-10-28,NATASHA,MORGAN,F,11,1646,SAN FERNANDO,SANCHEZJANET@HOTMAIL.COM
UNIVERSIDAD NACIONAL DE VILLA MARÍA,BIOQUÍMICA,2020-10-11,APRIL,MILLER,F,14,1646,SAN FERNANDO,ROBERTELLIOTT@YAHOO.COM
UNIVERSIDAD NACIONAL DE VILLA MARÍA,LICENCIATURA EN GESTIÓN DE AGROALIMENTOS,2020-11-27,KIRK,DEAN,M,97,1649,ZONA DELTA TIGRE,CARLOSCASTILLO@HOTMAIL.COM
UNIVERSIDAD NACIONAL DE VILLA MARÍA,LICENCIATURA EN SOCIOLOGÍA ,2020-10-04,MICHAEL,STEIN,M,8,1653,VILLA BALLESTER,DELLIS@HOTMAIL.COM
UNIVERSIDAD NACIONAL DE VILLA MARÍA,LICENCIATURA EN GESTIÓN DE AGROALIMENTOS,2020-11-20,MICHAEL,BROWN,M,81,1655,JOSE LEON SUAREZ,ISAIAHWILLIAMS@GMAIL.COM
UNIVERSIDAD NACIONAL DE VILLA MARÍA,LICENCIATURA EN CIENCIAS GEOLÓGICAS,2020-11-13,BRITTANY DDS,DDS,F,51,1655,JOSE LEON SUAREZ,SMITHLISA@HOTMAIL.COM
UNIVERSIDAD NACIONAL DE VILLA MARÍA,ARQUITECTURA,2020-10-18,DANIEL JR.,JR.,M,40,1657,11 DE SEPTIEMBRE,ORRBRITTANY@HOTMAIL.COM
UNIVERSIDAD NACIONAL DE VILLA MARÍA,LICENCIATURA EN CIENCIAS BIOLÓGICAS,2020-10-08,JASON,HOGAN,M,15,1657,11 DE SEPTIEMBRE,FHICKS@HOTMAIL.COM
