university,career,inscription_date,first_name,last_name,gender,age,postal_code,location,email
universidad nacional de jujuy,licenciatura en musicoterapia,2020/11/27,megan,lopez,f,55.0,8521,arroyo de la ventana,reeddonald@yahoo.com
universidad nacional de jujuy,diseño industrial,2020/11/01,corey,alvarado,m,11.0,7406,aldecon,shawnhunt@gmail.com
universidad nacional de jujuy,licenciatura en ciencias ambientales,2020/10/24,jessica,jordan,f,77.0,3586,campo yaguarete,daymatthew@gmail.com
universidad nacional de jujuy,contador público ,2020/11/23,heather,williams,f,89.0,9031,bajo la cancha,travissutton@yahoo.com
universidad nacional de jujuy,diseño de imagen y sonido,2020/09/22,jose,jones,m,18.0,5329,amuschina,jennifer87@hotmail.com
universidad nacional de jujuy,diseño de imagen y sonido,2020/11/14,terry,shelton,m,96.0,5622,colonia jauregui,kellerkristopher@yahoo.com
universidad nacional de jujuy,licenciatura en ciencias antropológicas,2020/09/12,brent,murray,m,85.0,1623,barrio garin norte,elizabeth47@hotmail.com
universidad nacional de jujuy,licenciatura en producción de bioimagenes,2020/11/10,rebecca,hart,f,21.0,7412,las hermanas,tammy58@hotmail.com
universidad nacional de jujuy,licenciatura en producción de bioimagenes,2020/09/29,joshua,henderson,m,110.0,8416,anecon grande,tryan@hotmail.com
universidad nacional de jujuy,licenciatura en producción de bioimagenes,2020/12/07,jack,shannon,m,100.0,3734,campo moreno,harrisalbert@yahoo.com
universidad nacional de jujuy,diseño industrial,2020/12/09,vanessa,martin,f,73.0,1891,ingeniero allan,matthew92@gmail.com
universidad nacional de jujuy,licenciatura en ciencias antropológicas,2021/01/30,tyler,horne,m,79.0,5773,cañada,aaronlarsen@hotmail.com
universidad nacional de jujuy,licenciatura en ciencias antropológicas,2021/01/30,tyler,horne,m,79.0,4129,cañada,aaronlarsen@hotmail.com
universidad nacional de jujuy,ingeniería en informática,2021/01/07,robert,brown,m,63.0,2000,villa angelica,cantuthomas@gmail.com
universidad nacional de jujuy,agronomía,2021/01/11,frank,obrien,m,97.0,1713,barrio parque leloir,scurry@yahoo.com
universidad nacional de jujuy,licenciatura en relaciones del trabajo ,2020/12/18,dr.,stacie,f,48.0,7241,la porteña,bryantsydney@yahoo.com
universidad nacional de jujuy,ingeniería electrónica,2020/09/19,kyle,rose,m,101.0,4701,acostilla,agilbert@gmail.com
universidad nacional de jujuy,ingeniería electrónica,2020/09/19,kyle,rose,m,101.0,4113,acostilla,agilbert@gmail.com
universidad nacional de jujuy,licenciatura en ciencias de la educación ,2020/12/18,jasmine,medina,f,95.0,8212,abramo,zachary43@hotmail.com
universidad nacional de jujuy,diseño industrial,2020/12/05,rebecca,padilla,f,19.0,8201,25 de mayo,rhampton@yahoo.com
universidad nacional de jujuy,diseño industrial,2020/12/05,rebecca,padilla,f,19.0,6660,25 de mayo,rhampton@yahoo.com
universidad nacional de jujuy,diseño industrial,2020/12/05,rebecca,padilla,f,19.0,5615,25 de mayo,rhampton@yahoo.com
universidad nacional de jujuy,diseño industrial,2020/12/05,rebecca,padilla,f,19.0,4242,25 de mayo,rhampton@yahoo.com
universidad nacional de jujuy,diseño industrial,2020/12/05,rebecca,padilla,f,19.0,3363,25 de mayo,rhampton@yahoo.com
universidad nacional de jujuy,ingeniería electrónica,2020/10/07,melissa,swanson,f,22.0,6365,azteazu,jenniferstrickland@gmail.com
universidad nacional de jujuy,licenciatura en musicoterapia,2021/01/24,juan,hicks,m,66.0,3228,cabi monda,gibsoncheryl@yahoo.com
universidad nacional de jujuy,licenciatura en relaciones del trabajo ,2020/09/24,kristina,bush,f,47.0,7101,cerro de la gloria canal 15,benjamindean@hotmail.com
universidad nacional de jujuy,farmacia,2020/10/21,christina,wells,f,112.0,8200,colonia lia y allende,qwells@yahoo.com
universidad nacional de jujuy,actuario ,2020/12/23,michael,chapman,m,35.0,8505,emilio lamarca,natalie99@hotmail.com
universidad nacional de jujuy,licenciatura en producción de bioimagenes,2020/10/20,brandon,martin,m,96.0,9033,aldea apeleg,michellesherman@yahoo.com
universidad nacional de jujuy,arquitectura,2020/11/09,richard,perez,m,12.0,5517,cespedes,christopherball@yahoo.com
universidad nacional de jujuy,licenciatura en ciencias geológicas,2020/10/09,james,padilla,m,41.0,2754,campo crisol,marshallbrian@gmail.com
universidad nacional de jujuy,licenciatura en musicoterapia,2020/09/07,caroline,humphrey,f,6.0,4651,agua de castilla,gsnyder@hotmail.com
universidad nacional de jujuy,licenciatura en ciencias de la educación ,2020/12/07,jamie,taylor,f,57.0,3051,alejandra,daviseddie@yahoo.com
universidad nacional de jujuy,técnico para bioterios ,2020/10/12,christopher,obrien,m,23.0,2635,cañada del ucle,dawncole@gmail.com
universidad nacional de jujuy,bioquímica,2020/10/29,anthony,ruiz,m,17.0,8203,la chirlandia,kellysamuel@gmail.com
universidad nacional de jujuy,ingeniería electrónica,2020/11/10,sharon,day,f,53.0,6077,encina,gardnertimothy@gmail.com
universidad nacional de jujuy,actuario ,2020/09/23,victoria,wolfe,f,20.0,6407,girodias,howardvictor@yahoo.com
universidad nacional de jujuy,licenciatura en ciencia política ,2020/10/04,spencer,dominguez,m,88.0,3138,alcaraz 2do,bparsons@hotmail.com
