,university,career,inscription_date,first_name,last_name,gender,age,postal_code,location,email
0,universidad nacional de jujuy,licenciatura en musicoterapia,2020-11-27,megan,lopez,female,55,8521,arroyo de la ventana,reeddonald@yahoo.com
1,universidad nacional de jujuy,diseño industrial,2020-11-01,corey,alvarado,male,11,7406,aldecon,shawnhunt@gmail.com
2,universidad nacional de jujuy,licenciatura en ciencias ambientales,2020-10-24,jessica,jordan,female,77,3586,campo yaguarete,daymatthew@gmail.com
3,universidad nacional de jujuy,contador público,2020-11-23,heather,williams,female,89,9031,bajo la cancha,travissutton@yahoo.com
4,universidad nacional de jujuy,diseño de imagen y sonido,2020-09-22,jose,jones,male,18,5329,amuschina,jennifer87@hotmail.com
5,universidad nacional de jujuy,diseño de imagen y sonido,2020-11-14,terry,shelton,male,96,5622,colonia jauregui,kellerkristopher@yahoo.com
6,universidad nacional de jujuy,licenciatura en ciencias antropológicas,2020-09-12,brent,murray,male,85,1623,barrio garin norte,elizabeth47@hotmail.com
7,universidad nacional de jujuy,licenciatura en producción de bioimagenes,2020-11-10,rebecca,hart,female,21,7412,las hermanas,tammy58@hotmail.com
8,universidad nacional de jujuy,licenciatura en producción de bioimagenes,2020-09-29,joshua,henderson,male,110,8416,anecon grande,tryan@hotmail.com
9,universidad nacional de jujuy,licenciatura en producción de bioimagenes,2020-12-07,jack,shannon,male,100,3734,campo moreno,harrisalbert@yahoo.com
10,universidad nacional de jujuy,diseño industrial,2020-12-09,vanessa,martin,female,73,1891,ingeniero allan,matthew92@gmail.com
11,universidad nacional de jujuy,licenciatura en ciencias antropológicas,2021-01-30,tyler,horne,male,79,5773,cañada,aaronlarsen@hotmail.com
12,universidad nacional de jujuy,licenciatura en ciencias antropológicas,2021-01-30,tyler,horne,male,79,4129,cañada,aaronlarsen@hotmail.com
13,universidad nacional de jujuy,ingeniería en informática,2021-01-07,robert,brown,male,63,2000,villa angelica,cantuthomas@gmail.com
14,universidad nacional de jujuy,agronomía,2021-01-11,frank,obrien,male,97,1713,barrio parque leloir,scurry@yahoo.com
15,universidad nacional de jujuy,licenciatura en relaciones del trabajo,2020-12-18,dr.,stacie,female,48,7241,la porteña,bryantsydney@yahoo.com
16,universidad nacional de jujuy,ingeniería electrónica,2020-09-19,kyle,rose,male,101,4701,acostilla,agilbert@gmail.com
17,universidad nacional de jujuy,ingeniería electrónica,2020-09-19,kyle,rose,male,101,4113,acostilla,agilbert@gmail.com
18,universidad nacional de jujuy,licenciatura en ciencias de la educación,2020-12-18,jasmine,medina,female,95,8212,abramo,zachary43@hotmail.com
19,universidad nacional de jujuy,diseño industrial,2020-12-05,rebecca,padilla,female,19,8201,25 de mayo,rhampton@yahoo.com
20,universidad nacional de jujuy,diseño industrial,2020-12-05,rebecca,padilla,female,19,6660,25 de mayo,rhampton@yahoo.com
21,universidad nacional de jujuy,diseño industrial,2020-12-05,rebecca,padilla,female,19,5615,25 de mayo,rhampton@yahoo.com
22,universidad nacional de jujuy,diseño industrial,2020-12-05,rebecca,padilla,female,19,4242,25 de mayo,rhampton@yahoo.com
23,universidad nacional de jujuy,diseño industrial,2020-12-05,rebecca,padilla,female,19,3363,25 de mayo,rhampton@yahoo.com
24,universidad nacional de jujuy,ingeniería electrónica,2020-10-07,melissa,swanson,female,22,6365,azteazu,jenniferstrickland@gmail.com
25,universidad nacional de jujuy,licenciatura en musicoterapia,2021-01-24,juan,hicks,male,66,3228,cabi monda,gibsoncheryl@yahoo.com
26,universidad nacional de jujuy,licenciatura en relaciones del trabajo,2020-09-24,kristina,bush,female,47,7101,cerro de la gloria canal 15,benjamindean@hotmail.com
27,universidad nacional de jujuy,farmacia,2020-10-21,christina,wells,female,112,8200,colonia lia y allende,qwells@yahoo.com
28,universidad nacional de jujuy,actuario,2020-12-23,michael,chapman,male,35,8505,emilio lamarca,natalie99@hotmail.com
29,universidad nacional de jujuy,licenciatura en producción de bioimagenes,2020-10-20,brandon,martin,male,96,9033,aldea apeleg,michellesherman@yahoo.com
30,universidad nacional de jujuy,arquitectura,2020-11-09,richard,perez,male,12,5517,cespedes,christopherball@yahoo.com
31,universidad nacional de jujuy,licenciatura en ciencias geológicas,2020-10-09,james,padilla,male,41,2754,campo crisol,marshallbrian@gmail.com
32,universidad nacional de jujuy,licenciatura en musicoterapia,2020-09-07,caroline,humphrey,female,6,4651,agua de castilla,gsnyder@hotmail.com
33,universidad nacional de jujuy,licenciatura en ciencias de la educación,2020-12-07,jamie,taylor,female,57,3051,alejandra,daviseddie@yahoo.com
34,universidad nacional de jujuy,técnico para bioterios,2020-10-12,christopher,obrien,male,23,2635,cañada del ucle,dawncole@gmail.com
35,universidad nacional de jujuy,bioquímica,2020-10-29,anthony,ruiz,male,17,8203,la chirlandia,kellysamuel@gmail.com
36,universidad nacional de jujuy,ingeniería electrónica,2020-11-10,sharon,day,female,53,6077,encina,gardnertimothy@gmail.com
37,universidad nacional de jujuy,actuario,2020-09-23,victoria,wolfe,female,20,6407,girodias,howardvictor@yahoo.com
38,universidad nacional de jujuy,licenciatura en ciencia política,2020-10-04,spencer,dominguez,male,88,3138,alcaraz 2do,bparsons@hotmail.com
39,universidad nacional de jujuy,licenciatura en ciencias geológicas,2020-10-03,tina,thomas,female,116,7507,el bombero,cassiebrewer@yahoo.com
40,universidad nacional de jujuy,licenciatura en ciencia política,2020-10-15,debra,davis,female,74,4707,chañarcito,mooreandrea@hotmail.com
41,universidad nacional de jujuy,medicina,2020-11-02,andre,anderson,male,56,4230,brea chimpana,arivera@hotmail.com
42,universidad nacional de jujuy,licenciatura en musicoterapia,2020-09-14,carolyn,clark,female,53,3109,colonia centenario,jordanleslie@hotmail.com
43,universidad nacional de jujuy,diseño de imagen y sonido,2021-01-19,jorge,miller,male,25,3254,colonia la blanquita,sherri64@hotmail.com
44,universidad nacional de jujuy,ingeniería mecánica,2020-11-27,andrea,molina,female,88,2342,campo el mataco,luisconley@gmail.com
45,universidad nacional de jujuy,arquitectura,2020-09-17,jimmy,taylor,male,17,7160,la union,xcollins@gmail.com
46,universidad nacional de jujuy,ingeniería en informática,2020-11-06,elizabeth,cox,female,88,5773,cañada,hughesandrew@yahoo.com
47,universidad nacional de jujuy,ingeniería en informática,2020-11-06,elizabeth,cox,female,88,4129,cañada,hughesandrew@yahoo.com
48,universidad nacional de jujuy,arquitectura,2021-01-15,stephanie,williamson,female,47,3036,aromos,patrickcrawford@hotmail.com
49,universidad nacional de jujuy,farmacia,2020-11-26,derek,robinson,male,23,7260,barrio villa saladillo,kathleenmitchell@yahoo.com
50,universidad nacional de jujuy,licenciatura en ciencia política,2021-01-11,melissa,moore,female,66,5367,cachiyuyal,erin97@yahoo.com
