university,career,inscription_date,first_name,last_name,gender,age,postal_code,location,email
_universidad_de_palermo,actuario_,04/Dec/20,jonathan,zimmerman,m,69.0,4139,agua amarilla la hoyada,yking@gmail.com
_universidad_de_palermo,licenciatura_en_producción_de_bioimagenes,26/Oct/20,kathy,collins,f,99.0,3229,colonia freitas,bkent@gmail.com
_universidad_de_palermo,agronomía,24/Oct/20,kevin,lee,m,1.0,6365,azteazu,nancyho@hotmail.com
_universidad_de_palermo,licenciatura_en_sociología_,23/Dec/20,mark,scott,m,7.0,9313,cara mala,shannon83@gmail.com
_universidad_de_palermo,licenciatura_en_planificación_y_diseño_del_paisaje,21/Oct/20,dawn,taylor,f,41.0,6661,blas durañona,amber11@hotmail.com
_universidad_de_palermo,contador_público_,22/Nov/20,chelsea,evans,f,57.0,3355,arrechea,baldwintimothy@yahoo.com
_universidad_de_palermo,licenciatura_en_musicoterapia,01/Sep/20,michael,pitts,m,1.0,4516,caimancito,usummers@yahoo.com
_universidad_de_palermo,licenciatura_en_gestión_de_agroalimentos,26/Jan/21,david,ramos,m,27.0,3550,allende,mariah31@hotmail.com
_universidad_de_palermo,licenciatura_en_ciencia_política_,14/Jan/21,kaitlyn,potter,f,53.0,3557,caraguatay,joel80@gmail.com
_universidad_de_palermo,licenciatura_en_planificación_y_diseño_del_paisaje,25/Sep/20,james,klein,m,40.0,5743,la isabel,andrewvega@gmail.com
_universidad_de_palermo,bioquímica,14/Dec/20,roy,bernard,m,5.0,7111,san bernardo del tuyu,floresjoseph@yahoo.com
_universidad_de_palermo,licenciatura_en_producción_de_bioimagenes,12/Nov/20,christopher,ortega,m,40.0,1625,arroyo canelon,sharon90@gmail.com
_universidad_de_palermo,actuario_,20/Dec/20,leah,myers,f,89.0,8364,chimpay,longyvette@hotmail.com
_universidad_de_palermo,licenciatura_en_ciencias_de_la_educación_,09/Jan/21,robert,swanson,m,48.0,3412,albardon,mbradshaw@gmail.com
_universidad_de_palermo,agronomía,11/Sep/20,mrs.,wendy,f,30.0,5567,la cañada,espinozahunter@hotmail.com
_universidad_de_palermo,licenciatura_en_ciencia_y_tecnología_de_alimentos,29/Sep/20,michael,williams,m,9.0,6605,campo peña lopez,shenderson@hotmail.com
_universidad_de_palermo,licenciatura_en_gestión_de_agroalimentos,24/Oct/20,wesley,parrish,m,4.0,3400,bañado norte,diana33@yahoo.com
_universidad_de_palermo,arquitectura,28/Jan/21,nicole,thomas,f,8.0,3443,colonia mendez bar,aho@hotmail.com
_universidad_de_palermo,ciencias_veterinarias,23/Nov/20,molly,garza,f,60.0,3123,aldea santa maria,phillipdaniels@hotmail.com
_universidad_de_palermo,técnico_para_bioterios_,11/Jan/21,christina,cruz,f,57.0,5607,colonia bombal y tabanera,jon54@hotmail.com
_universidad_de_palermo,licenciatura_en_ciencias_antropológicas,17/Dec/20,jeffery,hernandez,m,20.0,6727,gouin,stantonanthony@hotmail.com
_universidad_de_palermo,ingeniería_en_informática,13/Oct/20,rachel,cummings,f,17.0,8166,saldungaray,mreed@hotmail.com
_universidad_de_palermo,licenciatura_en_planificación_y_diseño_del_paisaje,20/Sep/20,paula,stevens,f,26.0,3592,colonia hardy,fjohnson@gmail.com
_universidad_de_palermo,licenciatura_en_terapia_ocupacional,14/Jan/21,thomas,burton,m,74.0,2246,barrancas,amanda88@gmail.com
_universidad_de_palermo,licenciatura_en_psicología,22/Nov/20,megan,harrington,f,4.0,7101,cerro de la gloria canal 15,maxwell07@hotmail.com
_universidad_de_palermo,actuario_,25/Dec/20,martha,lopez,f,32.0,3322,aparicio cue,zcastillo@yahoo.com
_universidad_de_palermo,ingeniería_electrónica,02/Nov/20,cynthia,powell,f,36.0,6205,el guanaco,owiley@hotmail.com
_universidad_de_palermo,ingeniería_en_informática,02/Jan/21,jason,taylor,m,68.0,2729,carreras,burtonkevin@yahoo.com
_universidad_de_palermo,técnico_para_bioterios_,18/Nov/20,rebecca,jones,f,61.0,6501,12 de octubre,phansen@hotmail.com
_universidad_de_palermo,licenciatura_en_artes,31/Dec/20,ryan,miller,m,83.0,9111,bahia bustamante,cherryjames@yahoo.com
_universidad_de_palermo,ingeniería_mecánica,01/Nov/20,samantha,acosta,f,8.0,3151,antelo,evanstroy@yahoo.com
_universidad_de_palermo,licenciatura_en_ciencias_de_la_computación,12/Dec/20,brian,alexander,m,58.0,6465,coraceros,david51@gmail.com
_universidad_de_palermo,medicina,10/Jan/21,nicole,day,f,35.0,7109,barrio pedro rocco,harpersusan@hotmail.com
_universidad_de_palermo,contador_público_,29/Jan/21,holly,willis,f,27.0,6053,el peregrino,dunnjamie@gmail.com
_universidad_de_palermo,licenciatura_en_terapia_ocupacional,23/Sep/20,jeremy,burch,m,2.0,8375,cañadon de los indios,davidnorton@hotmail.com
_universidad_de_palermo,licenciatura_en_relaciones_del_trabajo_,05/Dec/20,michael,mcgrath,m,31.0,8412,cañadon del corral,bushdavid@hotmail.com
_universidad_de_palermo,diseño_industrial,22/Oct/20,kathy,torres,f,33.0,6300,barrancas coloradas,ngarcia@hotmail.com
_universidad_de_palermo,arquitectura,18/Sep/20,catherine,davies,f,97.0,4606,colonia los lapachos,robert01@yahoo.com
_universidad_de_palermo,licenciatura_en_planificación_y_diseño_del_paisaje,07/Sep/20,nathan,mccoy,m,30.0,3158,20 de septiembre,gregory03@gmail.com
