,university,career,inscription_date,first_name,last_name,gender,age,postal_code,location,email
0,Universidad de morón,Ingeniería mecánica,24/01/2020,Veronica,miller,F,5.0,3224,"8851 brian walks
jenniferview, sc 15777",Kristin71@hotmail.com
1,Universidad de morón,Licenciatura en ciencias de la educación ,27/08/2020,Stephen,russo,M,20.0,6221,"160 jennifer shore
charleschester, tn 41054",Harrisonkimberly@gmail.com
2,Universidad de morón,Contador público ,14/07/2020,Melanie,collins,F,64.0,1876,"0241 danny fall apt. 144
davidfort, mt 01390",Seanfisher@hotmail.com
3,Universidad de morón,Licenciatura en artes,28/10/2020,Sandra,simpson,F,85.0,3083,"04981 joan shoals
coreyborough, wy 26182",Spencermurphy@hotmail.com
4,Universidad de morón,Agronomía,29/12/2020,Scott,marshall,M,12.0,8000,"2535 mcdonald turnpike apt. 385
rogermouth, vt 52428",Lloydkathryn@gmail.com
5,Universidad de morón,Licenciatura en administración ,24/07/2020,James,oliver,M,42.0,6469,"24071 rodriguez pike
south susan, wv 03943",Asmith@gmail.com
6,Universidad de morón,Licenciatura en ciencia y tecnología de alimentos,07/08/2020,Colleen,herman,F,72.0,3474,"218 haynes manor
south patrickmouth, vt 36545",Fkelley@hotmail.com
7,Universidad nacional de la pampa,Diseño de imagen y sonido,18/07/2020,Cindy,wong,F,74.0,3427,"6527 emma bypass suite 360
skinnerberg, or 34767",Bgordon@hotmail.com
8,Universidad de morón,Licenciatura en ciencias de la educación ,23/02/2020,Timothy,johnson,M,101.0,5623,"Unit 0277 box 0825
dpo aa 96697",Michaellane@yahoo.com
9,Universidad de morón,Licenciatura en ciencia y tecnología de alimentos,09/11/2020,Robyn,walsh,F,54.0,4601,"Uscgc castillo
fpo ap 41581",Dawn84@hotmail.com
10,Universidad de morón,Licenciatura en terapia ocupacional,20/10/2020,Christopher,wilson,M,14.0,8345,"995 dominguez passage
north dawnborough, or 81857",Rowen@yahoo.com
11,Universidad de morón,Ciencias veterinarias,08/10/2020,Wayne,jackson,M,110.0,5300,"9899 aguilar trafficway
royside, nc 27968",Kristenblack@yahoo.com
12,Universidad nacional de la pampa,Licenciatura en ciencias biológicas,22/01/2020,Courtney,oneill,F,62.0,3543,"306 frank divide
brucefort, ne 94009",Benjaminjohnson@hotmail.com
13,Universidad nacional de la pampa,Farmacia,25/04/2020,Brett,jones,M,96.0,5713,"6141 matthew via suite 503
jonathanborough, wv 64415",Nelsonabigail@gmail.com
14,Universidad nacional de la pampa,Ingeniería mecánica,09/06/2020,Natasha,eaton,F,49.0,1704,"7146 sharon shore
freyport, va 04200",Ggarcia@hotmail.com
15,Universidad nacional de la pampa,Farmacia,29/12/2020,Chad,richardson,M,45.0,3185,"32801 nathan square
obrienville, ak 78395",Jacksonmichelle@hotmail.com
16,Universidad nacional de la pampa,Licenciatura en sociología ,03/09/2020,Cassandra,odonnell,F,67.0,7245,"073 lisa curve apt. 256
port marissafort, ca 25944",Jamesthompson@gmail.com
17,Universidad de morón,Ciencias veterinarias,02/12/2020,Samantha,thompson,F,26.0,5509,"578 richard landing
south steven, wy 74943",Meganolson@hotmail.com
18,Universidad de morón,Arquitectura,08/10/2020,James,lopez,M,26.0,5589,"8235 kathy summit
bernardstad, wv 22873",Victor92@yahoo.com
19,Universidad de morón,Diseño de imagen y sonido,12/03/2020,Michael,little,M,38.0,7100,"07907 wise landing suite 994
new jay, mn 15198",Elizabethprice@gmail.com
20,Universidad de morón,Diseño de imagen y sonido,22/07/2020,Daniel,nunez,M,33.0,8181,"5114 darrell alley apt. 347
henryborough, nm 78046",Michellemorse@yahoo.com
21,Universidad de morón,Licenciatura en ciencias biológicas,23/03/2020,Samuel,davenport,M,79.0,6022,"724 brown shores apt. 959
north sherri, ar 15260",Jamesjackson@hotmail.com
22,Universidad de morón,Licenciatura en artes,10/04/2020,Natalie,jackson,F,88.0,3536,"079 harrison crescent suite 020
sarahview, ct 90618",Acostanicole@gmail.com
23,Universidad de morón,Bioquímica,20/12/2020,Benjamin,thomas,M,57.0,4166,"15867 john haven suite 282
thomasside, me 35195",Hicksriley@gmail.com
24,Universidad de morón,Licenciatura en ciencias de la educación ,25/03/2020,Devin,johnson,M,62.0,8133,"2793 bryan mill apt. 912
west bonniehaven, ct 33336",Hunter66@gmail.com
25,Universidad de morón,Bioquímica,27/04/2020,Erin,kent,F,109.0,5883,"3703 drake keys
lowestad, sc 93461",Shannonjohnson@hotmail.com
26,Universidad nacional de la pampa,Licenciatura en sociología ,17/08/2020,Joel,newton,M,19.0,7116,"770 james island
jeffreybury, ms 10528",Jeromehenson@yahoo.com
27,Universidad nacional de la pampa,Agronomía,29/05/2020,Angela,haney,F,55.0,5350,"2532 gonzalez park suite 990
south william, co 33037",Hbrown@hotmail.com
28,Universidad nacional de la pampa,Arquitectura,26/06/2020,Melissa,maddox,F,90.0,8200,"161 sparks locks suite 304
west laurie, ct 32937",Jesus10@yahoo.com
29,Universidad de morón,Licenciatura en musicoterapia,28/03/2020,Natasha,adams,F,97.0,1644,"44974 warren summit suite 714
kevinberg, la 08316",Earl75@yahoo.com
30,Universidad nacional de la pampa,Ingeniería en informática,20/11/2020,Jeffrey,rivera,M,102.0,8206,"8434 williams park suite 378
east anthony, wi 90718",Kristaaustin@hotmail.com
31,Universidad de morón,Diseño de imagen y sonido,02/04/2020,Douglas,smith,M,57.0,4111,"8928 michael junction
south seth, oh 11494",Qevans@hotmail.com
32,Universidad de morón,Licenciatura en ciencia política ,13/01/2020,Connie,beck,F,59.0,5407,"465 mary plaza suite 137
smithstad, wy 19654",Thomasbrett@gmail.com
33,Universidad nacional de la pampa,Licenciatura en ciencias antropológicas,22/08/2020,Christopher,moody,M,73.0,3550,"73182 mcclain shoal apt. 058
east daniel, wy 87376",Stevenschad@yahoo.com
34,Universidad nacional de la pampa,Ingeniería en informática,23/10/2020,Ann,schmidt,F,78.0,2255,"18533 travis ports
south kimberlyburgh, wy 02134",Michael73@gmail.com
